date,bases,open_access_bases,bytes,open_access_bytes
"06/05/2007",20304190150,20304190150,50496285115,50496285115
"04/04/2008",39591836573,39591836573,98175829054,98175829054
"04/05/2008",41196134195,41196134195,102158063571,102158063571
"04/09/2008",41645296177,41645296177,103295608811,103295608811
"04/15/2008",41771058665,41771058665,103601716949,103601716949
"04/17/2008",57166980893,57166980893,136281532630,136281532630
"04/18/2008",59666402505,59666402505,142020536150,142020536150
"04/19/2008",59832989101,59832989101,142367865452,142367865452
"04/21/2008",61634022162,61634022162,146270545189,146270545189
"04/23/2008",61712385563,61712385563,146460797100,146460797100
"04/25/2008",78124233926,78124233926,266507990537,266507990537
"04/26/2008",81069031598,81069031598,287936916796,287936916796
"04/28/2008",81264062840,81264062840,289272742892,289272742892
"04/29/2008",81326847448,81326847448,289431431191,289431431191
"04/30/2008",81457586277,81457586277,289756582979,289756582979
"05/07/2008",83682431517,83682431517,295037477077,295037477077
"05/09/2008",83780811089,83780811089,295276550474,295276550474
"05/10/2008",83825808848,83825808848,295390267164,295390267164
"05/14/2008",84726218328,84726218328,297583348906,297583348906
"05/16/2008",85049729286,85049729286,298382603063,298382603063
"05/19/2008",85117378496,85117378496,298552797146,298552797146
"05/23/2008",85144414651,85144414651,298618704333,298618704333
"06/02/2008",90592084604,90592084604,337600693677,337600693677
"06/03/2008",101476787656,101476787656,416592712696,416592712696
"06/18/2008",101743312002,101743312002,417168810025,417168810025
"06/23/2008",103336023420,103336023420,420681659659,420681659659
"06/24/2008",106058198865,106058198865,440856502849,440856502849
"06/26/2008",113381042552,113381042552,494635300485,494635300485
"06/27/2008",116018051444,116018051444,513903726394,513903726394
"07/01/2008",135048731169,135048731169,555843491955,555843491955
"07/03/2008",135316743466,135316743466,556427380439,556427380439
"07/08/2008",138003344165,138003344165,576367165287,576367165287
"07/10/2008",138169739290,138169739290,576788905528,576788905528
"07/11/2008",163903581040,163903581040,762460763702,762460763702
"07/12/2008",172156266636,172156266636,822030546830,822030546830
"07/14/2008",182370925104,182370925104,844936048548,844936048548
"07/15/2008",187361620944,187361620944,848895627556,848895627556
"07/16/2008",216425876532,216425876532,871317190029,871317190029
"07/17/2008",226357980460,226357980460,898440800753,898440800753
"07/18/2008",229086097226,229086097226,917102092291,917102092291
"07/19/2008",234098853308,234098853308,953095870081,953095870081
"07/21/2008",246376965315,246376965315,1054897974480,1054897974480
"07/22/2008",277602654703,277602654703,1276944519951,1276944519951
"07/23/2008",295697065273,295697065273,1405480459811,1405480459811
"07/24/2008",310592409758,310592409758,1514565427046,1514565427046
"07/25/2008",339459738405,339459738405,1709082911606,1709082911606
"07/31/2008",345776865124,345776865124,1754609895575,1754609895575
"08/01/2008",351438441880,351438441880,1795536647808,1795536647808
"08/06/2008",355834098616,355834098616,1853416088694,1853416088694
"08/07/2008",359179809232,359179809232,1896651069609,1896651069609
